Identificación Vivienda,Tipología,Comuna,Proyecto,CE,CEE
53273-BLOCK 10_NORTE A_DEPTO 2,Departamento,Alto Hospicio,OBRA NUEVA CONSTRUCCION CONDOMINIO SANTA ROSA II,E,E
53281-BLOCK 10_NORTE B_DEPTO 10,Departamento,Alto Hospicio,OBRA NUEVA CONSTRUCCION CONDOMINIO SANTA ROSA II,E,E
53284-BLOCK 10_SUR C_DEPTO 3,Departamento,Alto Hospicio,OBRA NUEVA CONSTRUCCION CONDOMINIO SANTA ROSA II,E,E
53287-BLOCK 10_SUR D_DEPTO 6,Departamento,Alto Hospicio,OBRA NUEVA CONSTRUCCION CONDOMINIO SANTA ROSA II,E,E
53290-BLOCK 10_SUR D_DEPTO 9,Departamento,Alto Hospicio,OBRA NUEVA CONSTRUCCION CONDOMINIO SANTA ROSA II,E,E
53293-BLOCK 11_NORESTE A_DEPTO 2,Departamento,Alto Hospicio,OBRA NUEVA CONSTRUCCION CONDOMINIO SANTA ROSA II,E,E
53304-BLOCK 11_SUROESTE C_DEPTO 3,Departamento,Alto Hospicio,OBRA NUEVA CONSTRUCCION CONDOMINIO SANTA ROSA II,E,E
53307-BLOCK 11_SUROESTE D_DEPTO 6,Departamento,Alto Hospicio,OBRA NUEVA CONSTRUCCION CONDOMINIO SANTA ROSA II,E,E
53310-BLOCK 11_SUROESTE D_DEPTO 9,Departamento,Alto Hospicio,OBRA NUEVA CONSTRUCCION CONDOMINIO SANTA ROSA II,E,E
53316-BLOCK 12_NORESTE A_DEPTO 5,Departamento,Alto Hospicio,OBRA NUEVA CONSTRUCCION CONDOMINIO SANTA ROSA II,E,E
53324-BLOCK 12_SUROESTE C_DEPTO 3,Departamento,Alto Hospicio,OBRA NUEVA CONSTRUCCION CONDOMINIO SANTA ROSA II,E,E
53327-BLOCK 12_SUROESTE D_DEPTO 6,Departamento,Alto Hospicio,OBRA NUEVA CONSTRUCCION CONDOMINIO SANTA ROSA II,E,E
53330-BLOCK 12_SUROESTE D_DEPTO 9,Departamento,Alto Hospicio,OBRA NUEVA CONSTRUCCION CONDOMINIO SANTA ROSA II,E,E
29474-Piso 2 - sur-poniente TORRE A,Departamento,Alto Hospicio,CONSTRUCCIÓN DE OBRA NUEVA 64 DEPTOS Y 1 SEDE SOCIAL,F,F
29477-Piso 3 - nor-poniente TORRE A,Departamento,Alto Hospicio,CONSTRUCCIÓN DE OBRA NUEVA 64 DEPTOS Y 1 SEDE SOCIAL,E,E
29480-Piso 4 - nor-oriente TORRE A,Departamento,Alto Hospicio,CONSTRUCCIÓN DE OBRA NUEVA 64 DEPTOS Y 1 SEDE SOCIAL,F,E
29483-Piso 4 - sur-oriente TORRE A,Departamento,Alto Hospicio,CONSTRUCCIÓN DE OBRA NUEVA 64 DEPTOS Y 1 SEDE SOCIAL,G,G
29486-Piso 1 - sur-poniente TORRE B,Departamento,Alto Hospicio,CONSTRUCCIÓN DE OBRA NUEVA 64 DEPTOS Y 1 SEDE SOCIAL,E,E
29494-Piso 3 - sur-poniente TORRE B,Departamento,Alto Hospicio,CONSTRUCCIÓN DE OBRA NUEVA 64 DEPTOS Y 1 SEDE SOCIAL,E,E
29497-Piso 4 - nor-poniente TORRE B,Departamento,Alto Hospicio,CONSTRUCCIÓN DE OBRA NUEVA 64 DEPTOS Y 1 SEDE SOCIAL,G,F
29500-Piso 1 - nor-oriente TORRE C,Departamento,Alto Hospicio,CONSTRUCCIÓN DE OBRA NUEVA 64 DEPTOS Y 1 SEDE SOCIAL,E,E
29503-Piso 1 - sur-oriente TORRE C,Departamento,Alto Hospicio,CONSTRUCCIÓN DE OBRA NUEVA 64 DEPTOS Y 1 SEDE SOCIAL,E,E
29506-Piso 2 - sur-poniente TORRE C,Departamento,Alto Hospicio,CONSTRUCCIÓN DE OBRA NUEVA 64 DEPTOS Y 1 SEDE SOCIAL,E,E
29509-Piso 3 - nor-poniente TORRE C,Departamento,Alto Hospicio,CONSTRUCCIÓN DE OBRA NUEVA 64 DEPTOS Y 1 SEDE SOCIAL,E,E
29517-Piso 1 - nor-poniente TORRE D,Departamento,Alto Hospicio,CONSTRUCCIÓN DE OBRA NUEVA 64 DEPTOS Y 1 SEDE SOCIAL,E,E
29520-Piso 2 - nor-oriente TORRE D,Departamento,Alto Hospicio,CONSTRUCCIÓN DE OBRA NUEVA 64 DEPTOS Y 1 SEDE SOCIAL,E,E
29523-Piso 2 - sur-oriente TORRE D,Departamento,Alto Hospicio,CONSTRUCCIÓN DE OBRA NUEVA 64 DEPTOS Y 1 SEDE SOCIAL,G,F
29526-Piso 3 - sur-poniente TORRE D,Departamento,Alto Hospicio,CONSTRUCCIÓN DE OBRA NUEVA 64 DEPTOS Y 1 SEDE SOCIAL,E,E
29529-Piso 4 - nor-poniente TORRE D,Departamento,Alto Hospicio,CONSTRUCCIÓN DE OBRA NUEVA 64 DEPTOS Y 1 SEDE SOCIAL,F,F
41594-BLOCK 1_DEPTO 301,Departamento,Alto Hospicio,CONJUNTO HABITACIONAL VISTA MANSA 1,E,E
